miRNA,advanced adenoma plasma EV 1,advanced adenoma plasma EV 2,advanced adenoma plasma EV 3,advanced adenoma plasma EV 4,advanced adenoma plasma EV 5,advanced adenoma plasma EV 6,colorectal cacer  plasma EV 1,colorectal cacer  plasma EV 2,colorectal cacer  plasma EV 3,colorectal cacer  plasma EV 4,colorectal cacer  plasma EV 5,colorectal cacer  plasma EV 6,healthy donor plasma EV  1,healthy donor plasma EV  2,healthy donor plasma EV  3,healthy donor plasma EV  4,healthy donor plasma EV  5,healthy donor plasma EV  6
hsa-miR-101-5p,1560.0,4111.0,1199.0,2533.0,1095.0,6707.0,33.0,587.0,92.0,5943.0,26436.0,9813.0,6281.0,3309.0,1055.0,3658.0,11385.0,102.0
hsa-miR-103a-1-5p,2234.0,4265.0,721.0,5811.0,1274.0,1695.0,52.0,712.0,492.0,2086.0,5973.0,4058.0,5532.0,3338.0,1843.0,1759.0,7050.0,238.0
hsa-miR-103a-2-5p,2234.0,4265.0,721.0,5811.0,1274.0,1695.0,52.0,712.0,491.0,2086.0,5973.0,4139.0,5532.0,3338.0,1843.0,1759.0,7050.0,240.0
hsa-miR-103a-3p,2234.0,4265.0,721.0,5811.0,1274.0,1695.0,52.0,712.0,492.0,2086.0,5973.0,4058.0,5532.0,3338.0,1843.0,1759.0,7050.0,238.0
hsa-miR-10527-5p,17.0,57.0,30.0,153.0,1.0,41.0,41.0,46.0,24.0,91.0,161.0,1.0,41.0,103.0,41.0,26.0,63.0,8.0
hsa-miR-106a-5p,66.5,31.0,43.0,66.5,66.5,89.0,2.0,56.0,8.0,148.0,274.0,331.0,77.0,231.0,66.5,17.0,108.0,5.0
hsa-miR-106b-5p,1048.0,2152.0,671.0,2682.0,788.0,3821.0,50.0,978.0,882.0,1634.0,3212.0,4284.0,3522.0,3344.0,1129.0,1282.0,5082.0,250.0
hsa-miR-107,2116.0,3299.0,558.0,5148.0,1031.0,1642.0,9.0,482.0,180.0,1815.0,5036.0,1312.0,4957.0,2779.0,1601.0,1373.0,6097.0,173.0
hsa-miR-10a-5p,4215.0,2566.0,2537.0,1909.0,2208.0,5745.0,88.0,3312.0,1116.0,26103.0,74936.0,9632.0,10238.0,10313.0,3097.0,4599.0,9935.0,302.0
hsa-miR-10b-5p,7351.0,4169.0,1706.0,3505.0,2234.0,10400.0,251.0,3416.0,1152.0,35149.0,144791.0,16049.0,9542.0,11232.0,4613.0,3963.0,9716.0,617.0
hsa-miR-11400,23.0,38.0,90.0,40.0,142.0,46.0,6.0,19.0,159.0,58.0,24.0,204.0,75.0,390.0,72.0,26.0,152.0,5.0
hsa-miR-11401,85.0,254.0,46.0,63.0,63.0,4.0,2.0,34.0,28.0,82.0,450.0,6.0,398.0,182.0,15.0,80.0,355.0,8.0
hsa-miR-1180-5p,995.0,1639.0,647.0,3339.0,629.0,2162.0,1639.0,900.0,220.0,1884.0,4621.0,3822.0,4194.0,3296.0,1510.0,1017.0,2864.0,87.0
hsa-miR-122-5p,97884.0,211288.0,28803.0,75574.0,106763.0,71124.0,54.0,17555.0,6421.0,108150.0,572348.0,85751.0,351674.0,504298.0,45667.0,131852.0,345920.0,519.0
hsa-miR-1228-5p,2171.0,347.0,32.0,613.0,1429.0,3552.0,9.0,36.0,21.0,93.0,93.0,68.0,370.0,1441.0,1375.0,124.0,140.0,140.0
hsa-miR-1250-5p,12.0,140.0,6.0,12.0,12.0,2.0,12.0,4.0,12.0,20.0,12.0,12.0,62.0,56.0,12.0,9.0,70.0,12.0
hsa-miR-125a-5p,1027.0,729.0,1598.0,1135.0,1560.0,3092.0,19.0,1351.0,762.0,6193.0,14968.0,1187.0,3843.0,2852.0,1077.0,1226.0,919.0,50.0
hsa-miR-125b-5p,314.0,838.0,578.0,808.0,82.0,1900.0,12.0,555.0,347.0,4132.0,23886.0,1326.0,3314.0,6579.0,423.0,1600.0,1637.0,82.0
hsa-miR-127-5p,421.0,1242.0,273.0,9719.0,338.0,408.0,28.0,482.0,1902.0,367.0,460.0,1108.0,841.0,1470.0,439.0,1138.0,2135.0,23.0
hsa-miR-1271-5p,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,8.0,31.0,1.0,2.0,4.0,4.0,8.0,8.0,7.0
hsa-miR-128-1-5p,3436.0,3708.0,1901.0,3672.0,2207.0,5079.0,45.0,1884.0,963.0,5105.0,18318.0,36794.0,9906.0,8453.0,3705.0,2603.0,4914.0,253.0
hsa-miR-128-2-5p,3169.0,3384.0,1517.0,2984.0,1764.0,4415.0,23.0,1339.0,555.0,4548.0,16771.0,19520.0,8954.0,7437.0,2901.0,2136.0,4149.0,197.0
hsa-miR-1284,14.0,89.0,2.0,14.0,14.0,14.0,14.0,5.0,14.0,14.0,39.0,67.0,18.0,14.0,14.0,1.0,7.0,14.0
hsa-miR-1287-5p,72.0,61.0,3.0,47.0,119.0,43.5,1.0,21.0,5.0,27.0,61.0,43.5,11.0,79.0,43.5,40.0,73.0,43.5
hsa-miR-1288-5p,10.5,25.0,5.0,10.5,10.5,46.0,10.5,3.0,4.0,9.0,35.0,10.5,13.0,10.5,10.5,12.0,8.0,10.5
hsa-miR-129-5p,152.0,122.0,44.0,112.0,112.0,198.0,112.0,19.0,24.0,138.0,774.0,112.0,212.0,94.0,197.0,60.0,102.0,10.0
hsa-miR-1292-5p,215.0,95.0,55.0,458.0,126.0,126.0,126.0,101.0,126.0,151.0,217.0,3.0,287.0,289.0,53.0,69.0,235.0,7.0
hsa-miR-1294,2.0,274.0,14.0,146.0,102.0,124.0,102.0,50.0,32.0,64.0,384.0,16.0,122.0,244.0,102.0,102.0,132.0,6.0
hsa-miR-1298-5p,4.0,4.0,2.0,4.0,4.0,168.0,4.0,2.0,4.0,2.0,438.0,2.0,4.0,4.0,4.0,10.0,12.0,4.0
hsa-miR-1301-5p,33.0,286.0,101.0,601.0,1.0,95.0,212.0,193.0,395.0,85.0,249.0,240.0,234.0,353.0,89.0,212.0,409.0,6.0
hsa-miR-1304-5p,73.0,110.5,37.0,331.0,110.5,110.5,110.5,59.0,78.0,143.0,304.0,110.5,193.0,110.5,110.5,49.0,160.0,110.5
hsa-miR-1306-3p,138.0,206.0,39.0,316.0,102.0,2.0,102.0,41.0,81.0,77.0,143.0,351.0,84.0,159.0,127.0,50.0,160.0,6.0
hsa-miR-1306-5p,138.0,102.0,49.0,102.0,102.0,102.0,102.0,44.0,102.0,89.0,102.0,426.0,102.0,102.0,127.0,102.0,172.0,7.0
hsa-miR-1307-5p,3554.0,16508.0,2524.0,30454.0,5184.0,2980.0,42.0,3820.0,4497.0,2724.0,7480.0,1626.0,10539.0,14783.0,8812.0,5345.0,12470.0,242.0
hsa-miR-130a-5p,28.0,46.0,45.0,104.0,94.0,100.0,3.0,34.0,11.0,95.0,392.0,202.0,94.0,145.0,148.0,90.0,312.0,19.0
hsa-miR-130b-5p,159.0,441.0,322.0,72.0,3.0,445.0,3.0,613.0,493.0,556.0,907.0,2643.0,792.0,316.0,213.0,254.0,482.0,12.0
hsa-miR-132-5p,15.0,6.0,20.0,20.0,20.0,2.0,4.0,22.0,18.0,35.0,20.0,648.0,36.0,38.0,29.0,20.0,20.0,7.0
hsa-miR-1322,28.0,72.0,4.0,28.0,28.0,28.0,28.0,28.0,16.0,22.0,90.0,58.0,36.0,6.0,28.0,24.0,278.0,28.0
hsa-miR-133a-5p,77.0,168.0,2.0,77.0,77.0,77.0,6.0,38.0,24.0,1068.0,2118.0,188.0,84.0,77.0,77.0,66.0,482.0,70.0
hsa-miR-133b,5.0,9.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,58.0,120.0,4.0,4.0,5.0,5.0,6.0,28.0,3.0
hsa-miR-134-5p,736.0,3140.0,632.0,17187.0,518.0,139.0,7.0,706.0,1614.0,361.0,780.0,1632.0,868.0,958.0,280.0,586.0,1469.0,14.0
hsa-miR-1343-5p,64.0,9.0,9.0,50.0,81.0,109.0,9.0,2.0,5.0,3.0,13.0,9.0,9.0,9.0,9.0,4.0,5.0,9.0
hsa-miR-139-5p,1076.0,1751.0,460.0,2155.0,765.0,1637.0,196.0,992.0,655.0,1124.0,3645.0,11557.0,2915.0,2627.0,1275.0,789.0,2211.0,184.0
hsa-miR-140-5p,1551.0,6375.0,1650.0,5688.0,1585.0,5984.0,81.0,2246.0,798.0,8729.0,18837.0,11419.0,6473.0,5003.0,1660.0,2474.0,12893.0,571.0
hsa-miR-141-5p,37.0,24.0,3.0,24.0,24.0,24.0,24.0,24.0,1.0,9.0,79.0,106.0,24.0,44.0,24.0,24.0,11.0,24.0
hsa-miR-142-5p,4003.0,45787.0,22482.0,40005.0,20608.0,38414.0,22482.0,1606.0,22482.0,8924.0,22753.0,23245.0,14559.0,22580.0,22384.0,22482.0,26654.0,473.0
hsa-miR-143-5p,414.0,1829.0,683.0,2400.0,1082.0,723.0,124.0,246.0,356.0,4257.0,97674.0,3549.0,2098.0,4733.0,1221.0,2263.0,7710.0,132.0
hsa-miR-144-5p,788.0,788.0,84.0,788.0,259.0,2440.0,9.0,112.0,788.0,788.0,1646.0,4456.0,1582.0,1797.0,788.0,344.0,3712.0,35.0
hsa-miR-145-5p,143.0,104.0,66.0,4.0,1.0,14.0,11.0,32.0,42.0,748.0,8848.0,813.0,273.0,644.0,289.0,182.0,580.0,18.0
hsa-miR-1468-5p,84.0,46.0,29.0,137.0,53.5,53.5,53.5,23.0,28.0,35.0,216.0,149.0,67.0,137.0,53.0,54.0,38.0,53.5
hsa-miR-146a-5p,1566.0,7880.0,4741.0,8517.0,3405.0,1812.0,502.0,4095.0,613.0,3567.0,15101.0,21401.0,8416.0,5832.0,2912.0,5844.0,21107.0,923.0
hsa-miR-146b-5p,285.0,1719.0,1087.0,1820.0,1459.0,1344.0,69.0,1035.0,362.0,1576.0,4827.0,4947.0,2318.0,2850.0,1001.0,1972.0,6470.0,140.0
hsa-miR-148a-3p,14873.0,19099.0,28121.0,13864.0,12579.0,27437.0,1128.0,15079.0,4903.0,99316.0,494882.0,308954.0,93390.0,99657.0,13076.0,38877.0,193684.0,6476.0
hsa-miR-148a-5p,15037.0,19402.0,28180.0,14534.0,12618.0,27438.0,1131.0,15137.0,5040.0,99401.0,495240.0,308956.0,93688.0,100292.0,13173.0,38977.0,194172.0,6484.0
hsa-miR-148b-5p,601.0,1763.0,979.0,806.0,567.0,1265.0,54.0,665.0,329.0,2217.0,6230.0,3709.0,3444.0,2807.0,481.0,1701.0,7824.0,369.0
hsa-miR-150-5p,597.0,383.0,141.0,221.0,219.0,1314.0,55.0,395.0,213.0,323.0,589.0,605.0,1437.0,2146.0,376.0,263.0,895.0,117.0
hsa-miR-151b,6591.0,26945.0,15706.0,32376.0,10587.0,16060.0,602.0,12879.0,8949.0,20649.0,57257.0,431893.0,34502.0,28908.0,11545.0,22929.0,72198.0,1503.0
hsa-miR-152-5p,98.0,185.0,58.0,198.0,152.0,405.0,10.0,56.0,31.0,185.0,1162.0,631.0,276.0,236.0,100.0,131.0,1073.0,50.0
hsa-miR-155-5p,103.5,154.0,46.0,115.0,103.5,222.0,24.0,27.0,44.0,103.0,284.0,1338.0,103.0,288.0,163.0,41.0,104.0,27.0
hsa-miR-15a-5p,65.0,3.0,12.0,55.0,2.0,68.0,2.0,4.0,2.0,56.0,206.0,367.0,70.0,3.0,36.0,36.0,178.0,10.0
hsa-miR-15b-5p,626.0,1551.0,153.0,490.5,490.5,682.0,29.0,242.0,156.0,577.0,1168.0,490.5,1716.0,490.5,404.0,341.0,490.5,490.5
hsa-miR-16-5p,72715.0,26243.0,10281.0,21402.0,12123.0,134919.0,157.0,20259.0,8784.0,35111.0,40663.0,33686.0,91130.0,40905.0,31749.0,14548.0,48240.0,439.0
hsa-miR-17-5p,38.0,658.0,342.0,241.0,816.0,570.0,86.0,428.0,84.0,1303.0,2640.0,1554.0,597.0,443.0,469.0,469.0,1163.0,102.0
hsa-miR-181a-5p,4006.0,7653.0,2910.0,15450.0,6154.0,11818.0,163.0,2546.0,648.0,8342.0,45714.0,12136.0,10058.0,15552.0,3498.0,6290.0,26099.0,748.0
hsa-miR-181b-5p,816.0,1688.0,248.0,2174.0,290.0,146.0,26.0,282.0,232.0,474.0,3043.0,430.0,974.0,1884.0,172.0,718.0,3489.0,86.0
hsa-miR-181c-5p,50.0,80.0,16.0,47.0,72.0,47.0,47.0,6.0,12.0,38.0,44.0,47.0,8.0,58.0,47.0,50.0,164.0,47.0
hsa-miR-181d-5p,16.0,334.0,100.0,386.0,100.0,100.0,12.0,72.0,86.0,86.0,346.0,402.0,82.0,348.0,100.0,156.0,416.0,8.0
hsa-miR-182-5p,311.0,242.0,46.0,178.0,242.0,108.0,10.0,52.0,23.0,484.0,518.0,464.0,492.0,277.0,250.0,52.0,1448.0,66.0
hsa-miR-183-5p,829.0,299.0,131.0,373.0,267.0,892.0,3.0,133.0,26.0,678.0,1330.0,1588.0,673.0,414.0,295.0,63.0,1151.0,32.0
hsa-miR-184,30.0,1.0,3.0,8.0,8.0,8.0,2.0,8.0,5.0,10.0,25.0,1.0,14.0,48.0,8.0,10.0,23.0,5.0
hsa-miR-1843,520.0,490.0,181.0,344.0,57.0,75.0,3.0,103.0,121.0,385.0,1173.0,1452.0,874.0,972.0,82.0,587.0,1892.0,44.0
hsa-miR-185-5p,5507.0,16396.0,5802.0,17051.0,2598.0,8639.0,31.0,7296.0,3296.0,31774.0,58896.0,87394.0,30703.0,13733.0,4150.0,4217.0,13912.0,548.0
hsa-miR-186-5p,586.0,1034.0,1343.0,1436.0,344.0,2825.0,40.0,694.0,580.0,3783.0,7315.0,4647.0,5233.0,2935.0,573.0,2549.0,10015.0,294.0
hsa-miR-18a-5p,101.0,101.0,80.0,56.0,101.0,101.0,4.0,101.0,49.0,303.0,413.0,287.0,441.0,333.0,67.0,76.0,135.0,101.0
hsa-miR-1908-5p,310.0,1007.0,272.0,1391.0,13.0,289.0,342.0,306.0,207.0,342.0,423.0,724.0,550.0,1895.0,164.0,513.0,892.0,10.0
hsa-miR-190b-5p,28.0,58.0,28.0,28.0,28.0,28.0,28.0,4.0,6.0,4.0,29.0,189.0,28.0,28.0,28.0,9.0,36.0,28.0
hsa-miR-191-5p,1299.0,4755.0,2204.0,5733.0,1756.0,2111.0,424.0,3235.0,2246.0,6535.0,10918.0,15437.0,5118.0,5761.0,1386.0,3579.0,12953.0,763.0
hsa-miR-192-5p,4520.0,3628.0,1948.0,1912.0,2740.0,2303.0,25.0,1877.0,1664.0,8592.0,25560.0,10504.0,10254.0,9220.0,765.0,5457.0,10023.0,249.0
hsa-miR-193a-5p,2236.0,4052.0,572.0,4888.0,1987.0,2331.0,2304.0,578.0,370.0,2951.0,8069.0,1136.0,4485.0,11862.0,2304.0,1417.0,5927.0,20.0
hsa-miR-193b-5p,433.0,411.0,73.0,438.0,177.0,447.0,2.0,65.0,20.0,227.0,1046.0,135.0,489.0,1573.0,169.0,191.0,409.0,227.0
hsa-miR-194-5p,476.0,569.0,231.0,119.0,405.0,886.0,3.0,139.0,25.0,993.0,4717.0,4329.0,1129.0,1137.0,238.0,284.0,1011.0,44.0
hsa-miR-195-5p,45.0,45.0,15.0,45.0,262.0,6.0,1.0,16.0,18.0,70.0,396.0,80.0,139.0,66.0,45.0,22.0,77.0,4.0
hsa-miR-196b-5p,33.5,33.5,11.0,91.0,2.0,33.5,33.5,6.0,34.0,33.0,70.0,1.0,44.0,27.0,33.5,42.0,94.0,33.5
hsa-miR-197-5p,55.0,25.0,53.0,112.0,1.0,270.0,7.0,61.0,75.0,122.0,191.0,116.0,119.0,116.0,49.0,59.0,45.0,47.0
hsa-miR-1972,241.0,2690.0,100.0,4273.0,590.0,672.0,2.0,96.0,230.0,170.0,630.0,726.0,699.0,488.0,827.0,664.0,1932.0,43.0
hsa-miR-1976,2.0,40.0,10.0,38.0,38.0,2.0,38.0,38.0,38.0,78.0,38.0,36.0,98.0,184.0,38.0,24.0,64.0,38.0
hsa-miR-199a-5p,528.0,2996.0,1000.0,2088.0,638.0,1305.0,974.0,866.0,1325.0,1680.0,11644.0,8772.0,2374.0,4170.0,1060.0,2279.0,8430.0,1318.0
hsa-miR-199b-5p,154.0,1150.0,268.0,818.0,248.0,250.0,451.0,186.0,271.0,603.0,5100.0,3741.0,677.0,1196.0,439.0,580.0,2381.0,635.0
hsa-miR-19a-5p,204.0,24.0,181.0,168.0,204.0,1553.0,7.0,108.0,7.0,790.0,1521.0,1453.0,421.0,232.0,204.0,204.0,664.0,9.0
hsa-miR-19b-1-5p,120.0,89.0,264.0,167.0,19.0,661.0,6.0,169.0,273.0,1225.0,1785.0,1014.0,612.0,429.0,273.0,282.0,1031.0,24.0
hsa-miR-19b-2-5p,120.0,89.0,264.0,167.0,19.0,661.0,6.0,169.0,5.0,1225.0,1785.0,1014.0,612.0,429.0,264.0,280.0,1026.0,24.0
hsa-miR-200a-5p,150.0,73.0,21.0,111.0,36.0,191.0,111.0,6.0,12.0,113.0,1192.0,332.0,109.0,160.0,111.0,66.0,135.0,111.0
hsa-miR-200b-5p,18.0,18.0,7.0,18.0,18.0,5.0,1.0,1.0,7.0,32.0,270.0,4.0,34.0,31.0,24.0,18.0,90.0,18.0
hsa-miR-200c-5p,25.5,33.0,5.0,71.0,25.5,329.0,25.5,18.0,2.0,24.0,196.0,225.0,11.0,25.5,45.0,11.0,27.0,3.0
hsa-miR-202-3p,22.0,68.0,2.0,9.0,15.5,98.0,15.5,3.0,1.0,15.5,55.0,96.0,15.5,15.5,15.5,15.5,3.0,15.5
hsa-miR-202-5p,22.0,68.0,2.0,9.0,1.0,98.0,14.0,3.0,1.0,19.0,55.0,96.0,14.0,14.0,14.0,14.0,3.0,14.0
hsa-miR-203a-5p,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,26.0,366.0,2.0,3.0,81.0,3.0,3.0,3.0,3.0
hsa-miR-204-5p,229.0,364.0,21.0,425.0,268.0,322.0,233.0,48.0,31.0,81.0,651.0,456.0,208.0,650.0,233.0,181.0,314.0,4.0
hsa-miR-206,40.0,40.0,40.0,76.0,1.0,40.0,40.0,2.0,8.0,1231.0,5348.0,76.0,11.0,53.0,69.0,10.0,18.0,40.0
hsa-miR-20a-5p,217.0,421.0,221.0,40.0,234.0,783.0,34.0,168.0,92.0,827.0,2822.0,4887.0,518.0,335.0,325.0,212.0,539.0,38.0
hsa-miR-20b-5p,32.0,57.5,30.0,57.5,57.5,222.0,57.5,53.0,15.0,230.0,609.0,478.0,76.0,30.0,62.0,44.0,121.0,12.0
hsa-miR-21-5p,5519.0,20507.0,5462.0,20184.0,6098.0,13605.0,1483.0,4525.0,6458.0,8486.0,51860.0,117311.0,13357.0,19170.0,10669.0,10012.0,34737.0,1069.0
hsa-miR-210-5p,304.0,200.0,68.0,1066.0,124.0,4.0,4.0,94.0,106.0,194.0,486.0,8.0,504.0,374.0,100.0,122.0,646.0,8.0
hsa-miR-2115-5p,23.0,23.0,23.0,43.0,23.0,23.0,23.0,2.0,1.0,60.0,44.0,23.0,12.0,234.0,23.0,14.0,54.0,2.0
hsa-miR-214-5p,1.0,94.0,60.0,60.0,35.0,341.0,60.0,8.0,60.0,165.0,1123.0,110.0,40.0,62.0,62.0,40.0,58.0,2.0
hsa-miR-215-5p,68.0,190.0,128.0,232.0,15.0,191.0,1.0,36.0,16.0,266.0,1042.0,1321.0,351.0,704.0,118.0,293.0,434.0,10.0
hsa-miR-218-5p,66.0,234.0,3.0,66.0,66.0,24.0,66.0,3.0,3.0,306.0,3867.0,477.0,66.0,111.0,66.0,48.0,171.0,9.0
hsa-miR-22-5p,53562.0,117864.0,25350.0,153670.0,50108.0,65040.0,242.0,23906.0,15830.0,89182.0,201580.0,41200.0,128834.0,129630.0,43074.0,54316.0,160580.0,3566.0
hsa-miR-221-5p,1212.0,2912.0,963.0,3320.0,774.0,1240.0,165.0,847.0,1970.0,1494.0,5041.0,2419.0,3556.0,5084.0,1027.0,2445.0,7404.0,603.0
hsa-miR-222-5p,1139.0,2441.0,1495.0,2705.0,678.0,1659.0,43.0,2040.0,2310.0,2539.0,8074.0,7389.0,4551.0,4360.0,1786.0,2587.0,6340.0,112.0
hsa-miR-223-5p,719.0,1680.0,849.0,2226.0,1680.0,1566.0,1680.0,1035.0,1514.0,3647.0,4882.0,16432.0,1344.0,9545.0,2081.0,1251.0,4675.0,1680.0
hsa-miR-224-5p,13.0,131.0,174.0,97.0,1.0,255.0,3.0,88.0,57.0,233.0,484.0,987.0,231.0,191.0,131.0,110.0,353.0,20.0
hsa-miR-2276-5p,10.0,10.0,10.0,61.0,10.0,10.0,10.0,9.0,10.0,15.0,14.0,29.0,10.0,7.0,10.0,7.0,3.0,10.0
hsa-miR-2355-5p,10.0,23.0,16.0,55.0,1.0,23.0,1.0,13.0,23.0,20.0,52.0,282.0,24.0,47.0,23.0,33.0,81.0,4.0
hsa-miR-23a-5p,490.0,512.0,190.0,822.0,512.0,512.0,98.0,288.0,202.0,760.0,3742.0,3218.0,942.0,512.0,512.0,512.0,1746.0,380.0
hsa-miR-23b-5p,14.0,528.0,61.0,465.0,1.0,34.0,14.0,117.0,126.0,78.0,97.5,668.0,97.5,314.0,20.0,131.0,97.5,97.5
hsa-miR-24-1-5p,3672.0,10663.0,5418.0,9074.0,4417.0,7966.0,172.0,5083.0,2413.0,12337.0,49255.0,43326.0,13570.0,16308.0,2429.0,6666.0,24110.0,607.0
hsa-miR-24-2-5p,7560.0,21896.0,11014.0,18788.0,9318.0,15972.0,352.0,10284.0,5034.0,25574.0,100868.0,89386.0,27614.0,34258.0,5224.0,13806.0,49740.0,1226.0
hsa-miR-24-3p,7342.0,21320.0,10832.0,18018.0,8832.0,15688.0,338.0,10160.0,4816.0,24658.0,98144.0,86432.0,27110.0,32604.0,4854.0,13316.0,48176.0,1212.0
hsa-miR-25-5p,9607.0,16750.0,7467.0,18732.0,8739.0,15021.0,63.0,6571.0,2434.0,23910.0,69588.0,32999.0,36945.0,19505.0,6875.0,10312.0,28543.0,2814.0
hsa-miR-26a-5p,10570.0,32726.0,6794.0,30085.0,13072.0,22652.0,5402.0,8327.0,10860.0,12639.0,43735.0,150222.0,24235.0,38242.0,26246.0,12053.0,36404.0,7861.0
hsa-miR-26b-5p,548.0,1121.0,417.0,847.0,448.0,715.0,221.0,406.0,225.0,704.0,3322.0,8648.0,1117.0,1166.0,458.0,429.0,1311.0,336.0
hsa-miR-27a-5p,6054.0,8702.0,1306.0,3806.0,4532.0,13962.0,396.0,950.0,704.0,7218.0,59554.0,134244.0,8938.0,22058.0,3370.0,2898.0,20486.0,796.0
hsa-miR-27b-5p,1167.0,2012.0,230.0,835.0,1071.0,1363.0,127.0,238.0,168.0,1066.0,17753.0,6871.0,3058.0,4464.0,1036.0,806.0,4538.0,221.0
hsa-miR-28-5p,322.0,1098.0,543.0,2193.0,437.0,251.0,36.0,874.0,901.0,929.0,3955.0,1424.0,1992.0,2566.0,515.0,1494.0,5262.0,128.0
hsa-miR-296-5p,7.0,26.0,26.0,128.0,216.0,74.0,26.0,14.0,9.0,22.0,52.0,190.0,30.0,15.0,26.0,4.0,69.0,5.0
hsa-miR-29a-5p,257.0,1140.0,134.0,709.0,919.0,2289.0,18.0,93.0,72.0,478.0,3104.0,1769.0,646.0,1317.0,865.0,301.0,2050.0,37.0
hsa-miR-29b-1-5p,38.0,6.0,14.5,14.5,14.5,6.0,5.0,3.0,14.5,23.0,58.0,14.5,14.0,52.0,14.5,15.0,63.0,3.0
hsa-miR-29b-2-5p,81.0,6.0,3.0,9.0,9.0,6.0,5.0,9.0,3.0,29.0,58.0,9.0,37.0,9.0,9.0,21.0,83.0,6.0
hsa-miR-3064-5p,2.0,15.0,3.0,52.0,15.0,15.0,15.0,5.0,8.0,7.0,17.0,173.0,27.0,27.0,15.0,15.0,15.0,15.0
hsa-miR-3074-5p,60.0,58.0,12.0,58.0,58.0,58.0,58.0,56.0,60.0,12.0,20.0,58.0,12.0,544.0,58.0,61.0,248.0,58.0
hsa-miR-30a-5p,242.0,292.5,255.0,315.0,575.0,1032.0,75.0,249.0,292.5,1055.0,292.5,1515.0,292.5,292.5,531.0,270.0,292.5,108.0
hsa-miR-30b-5p,1.0,204.0,12.0,37.0,177.0,29.0,445.0,13.0,28.0,30.0,106.0,305.0,46.0,63.0,46.0,45.0,162.0,329.0
hsa-miR-30c-5p,35.0,706.0,99.0,469.0,200.0,691.0,239.0,181.0,216.0,470.0,1173.0,3012.0,530.0,731.0,244.0,328.0,808.0,493.0
hsa-miR-30d-5p,6784.0,15297.0,9377.0,18303.0,10265.0,20799.0,281.0,14492.0,3464.0,20408.0,59468.0,60280.0,27855.0,22492.0,9675.0,8519.0,23932.0,398.0
hsa-miR-30e-5p,1451.0,2767.0,1255.0,1895.0,1525.0,5320.0,63.0,1373.0,668.0,4098.0,9528.0,6081.0,2928.0,2861.0,1745.0,1104.0,4280.0,134.0
hsa-miR-3120-5p,69.0,144.0,45.0,86.0,55.0,2.0,1.0,42.0,35.0,22.0,65.0,295.0,82.0,96.0,55.0,41.0,55.0,55.0
hsa-miR-3124-5p,17.5,17.5,10.0,76.0,17.5,17.5,17.5,6.0,11.0,17.0,30.0,17.5,24.0,69.0,17.5,4.0,18.0,17.5
