Type,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,BreastC,Control,Control,Control,Control,Control,Control,Control,BreastC,BreastC,HepatocelularC,BreastC,BreastC,ColonC,GallbladderC
Sample_id,KS0001,KS0002,KS0003,KS0004,KS0005,KS0007_scarce,KS0008_scarce,KS0009,KS0010,KS0011,KS0012,KS0013,KS0014,KS0016_Lowqual,KS0017_Lowqual,KS0019,KS0021,KS0022,KS0023,KS0024,KS0025,KS0026,KS0027,KS0028,KS0029
hsa-miR-30a-5p,2316,3187,3552,8082,4040,6,59,436,1636,113,11463,109,1302,283,346,306,906,3169,2289,1280,2435,1843,3147,476,1133
hsa-miR-30a-3p,2380,3324,1170,4968,1331,6,16,462,332,22,1696,23,839,40,94,366,500,1450,893,306,888,1018,1322,389,527
hsa-miR-31-5p,80,125,154,239,99,0,6,27,130,6,121,6,45,3,26,52,31,118,79,39,91,54,81,21,19
hsa-miR-31-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-32-5p,426,552,238,492,277,1,4,23,232,8,768,31,84,79,57,72,106,294,195,63,136,143,69,54,43
hsa-miR-32-3p,3265,6405,1831,5632,1236,27,21,772,812,36,946,19,699,97,178,847,628,2248,745,272,887,1576,1277,802,479
hsa-miR-33a-5p,318,622,173,435,89,0,0,8,72,3,89,2,35,38,21,40,59,228,42,28,57,97,53,51,18
hsa-miR-33a-3p,36,82,25,111,33,1,1,2,33,1,34,4,12,7,3,18,38,47,22,4,30,39,16,2,6
hsa-miR-92a-1-5p,201,444,102,369,69,2,3,121,96,6,107,2,108,9,16,81,54,152,93,27,57,139,145,123,29
hsa-miR-92a-3p,26019,37698,21531,49315,19832,72,455,4070,21886,1860,99341,3132,22637,3817,4492,15534,21654,18675,39426,6232,16743,17277,14314,14164,4600
hsa-miR-92a-2-5p,0,0,6,0,4,0,0,7,1,0,2,0,1,0,0,0,4,0,0,2,0,0,0,0,0
hsa-miR-93-5p,466915,735362,212338,963170,246017,894,6474,92034,184480,8046,581140,14507,116794,31786,32061,141027,92039,351907,199985,49474,228241,155202,176640,146918,60910
hsa-miR-93-3p,434,770,386,1346,328,4,13,108,329,16,642,18,153,58,76,221,158,347,408,80,254,195,330,60,32
hsa-miR-95-5p,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
hsa-miR-95-3p,347,422,197,1091,420,2,5,72,85,3,557,8,103,23,19,58,103,281,245,79,187,228,300,294,149
hsa-miR-96-5p,108,100,172,260,171,0,2,2,27,1,549,14,32,28,3,20,33,45,127,10,59,46,22,115,30
hsa-miR-96-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-98-5p,113206,236419,47923,202091,49209,1856,2146,51520,69580,2416,51496,1613,31758,3843,9369,49144,22910,67941,40999,10836,33826,53384,42703,36526,14171
hsa-miR-98-3p,56,71,24,114,3,0,0,4,33,2,24,1,6,1,2,27,17,94,8,9,20,30,28,11,0
hsa-miR-99a-5p,571,1088,1365,1651,751,5,31,200,873,70,1746,85,1438,118,167,453,730,309,1575,378,326,478,511,83,59
hsa-miR-99a-3p,32,38,64,52,33,0,0,0,17,1,11,0,32,0,2,2,4,30,69,24,9,26,12,0,0
hsa-miR-100-5p,119,304,409,868,427,0,15,156,417,33,908,31,439,38,56,62,327,201,751,159,196,303,467,52,125
hsa-miR-100-3p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-101-5p,1,18,3,6,4,0,0,1,1,0,16,1,0,0,2,0,5,8,8,0,5,0,8,0,0
hsa-miR-101-3p,182,170,57,147,96,2,2,21,95,4,371,13,38,17,15,43,41,287,34,27,77,63,42,55,57
hsa-miR-29b-1-5p,45,82,34,49,12,0,0,4,5,1,20,0,14,0,0,33,17,29,21,7,17,24,27,18,6
hsa-miR-29b-3p,14822,31068,7885,27634,10215,59,68,1658,4503,207,12832,360,3302,2020,715,3658,3465,10356,6291,2843,7160,6630,6446,4602,2837
hsa-miR-29b-2-5p,15,15,5,54,5,0,0,0,4,0,11,0,3,1,0,0,8,8,4,0,12,4,10,2,0
hsa-miR-103a-2-5p,24,63,24,37,7,0,0,0,6,3,30,3,13,3,1,9,26,16,33,15,6,22,17,14,0
hsa-miR-103a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-103a-1-5p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-105-5p,1,3,24,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-105-3p,0,4,1,6,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-106a-5p,31,40,15,41,41,0,0,2,20,3,195,2,10,7,0,4,26,9,70,3,12,19,4,22,0
hsa-miR-106a-3p,0,0,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0
hsa-miR-107,31369,73901,22379,54417,12139,19,189,2890,13625,1269,21238,423,10010,3423,3591,15301,8753,27334,16676,6011,13440,20695,18103,8928,5075
hsa-miR-16-2-3p,13,17,6,45,12,1,0,0,4,1,38,1,6,0,3,4,10,6,12,1,6,11,9,15,8
hsa-miR-192-5p,764,1333,759,2144,532,0,12,84,236,16,1591,74,902,129,69,150,472,850,684,321,1056,624,359,1008,265
hsa-miR-192-3p,2,3,4,16,0,0,0,0,1,0,4,0,4,0,0,0,2,9,2,2,0,0,0,0,14
hsa-miR-196a-5p,40,26,94,45,106,1,0,22,9,6,28,2,10,0,1,12,16,29,59,18,9,6,24,105,6
hsa-miR-196a-1-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-197-5p,45,76,47,173,44,1,1,36,48,1,81,3,15,0,16,23,8,29,27,8,42,30,21,66,18
hsa-miR-197-3p,1800,2459,1739,3984,955,8,29,534,1282,89,1728,27,1102,113,296,1300,1077,1767,1538,451,1129,2175,1447,742,364
hsa-miR-198,11,15,15,31,15,0,0,21,6,2,9,18,6,0,0,1,12,4,2,2,2,12,7,29,9
hsa-miR-199a-5p,5773,8337,2333,9425,1444,17,27,395,1654,81,1553,35,841,531,459,1274,1293,4425,1175,372,1297,1778,1375,691,549
hsa-miR-199a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208a-5p,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
hsa-miR-208a-3p,15,55,40,91,72,0,0,2,5,0,61,0,7,0,1,0,2,47,14,3,13,36,25,6,4
hsa-miR-129-5p,20,22,47,93,40,0,1,5,4,0,99,0,3,1,1,1,7,22,12,12,106,45,92,13,11
hsa-miR-129-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-148a-5p,0,2,25,8,0,0,0,0,0,0,8,0,2,0,0,2,0,5,2,1,0,0,4,1,0
hsa-miR-148a-3p,301,450,124,477,117,0,0,32,72,5,244,11,108,5,34,74,122,153,106,45,88,141,109,139,46
hsa-miR-30c-5p,731,909,505,1408,391,3,10,138,573,24,1157,39,375,95,138,650,659,1150,535,233,390,522,425,238,152
